TrueState,MockClassification,StateStatus
lightTypes.red,lightTypes.red,lightTypes.none
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.turnGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yellow,lightTypes.yellow
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yellow
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.red,lightTypes.red
lightTypes.yellow,lightTypes.yellow,lightTypes.red
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.green,lightTypes.green
lightTypes.red,lightTypes.red,lightTypes.green
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.none,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.blank,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.green,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yellow,lightTypes.yellow
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yellow
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.turnGreen,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.none,lightTypes.green
lightTypes.green,lightTypes.red,lightTypes.red
lightTypes.green,lightTypes.turnGreen,lightTypes.turnGreen
lightTypes.green,lightTypes.green,lightTypes.turnGreen
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.yieldGreen,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.none,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.yellow,lightTypes.red,lightTypes.green
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.green,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.green,lightTypes.green
lightTypes.red,lightTypes.red,lightTypes.green
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.green,lightTypes.green,lightTypes.green
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.yellow,lightTypes.yellow,lightTypes.yellow
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.blank,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.red,lightTypes.red,lightTypes.red
lightTypes.yieldGreen,lightTypes.yieldGreen,lightTypes.yieldGreen
